# HOTD2 function names — the committed source of truth for the Ghidra database.
#
# Format: <address>\t<name>\t<optional comment>
# Addresses are virtual, lower-case hex, no 0x prefix.
#
# Regenerate from a live database with:   ./ghidra/run.sh export-annotations
# Replay onto a fresh import with:        ./ghidra/run.sh apply-annotations
#
# ApplyAnnotations only renames a symbol whose current name is still a Ghidra
# default (FUN_/SUB_/LAB_/DAT_/UNK_), so re-applying is idempotent and never
# clobbers a name a human chose in the GUI.
#
# Names recovered by Ghidra's own analysers (CRT, D3DX, Catch@/Unwind@) are
# deliberately NOT listed: auto-analysis recreates them on import.#
# **Rows are sorted by address, and every writer must keep them that way.**
# tools/annotate.py inserts in order; ExportAnnotations.java re-sorts on write.
# The file used to be append-only and grouped into topical sections, and both
# workstreams appending at the tail is where every TSV merge conflict came
# from -- two branches adding unrelated rows to the same last line. Sorted
# insertion puts them in different parts of the file instead. The sections
# went with it: each one spanned nearly the whole segment, so address order
# broke the twelve of them into 149 fragments.

00401260	RegionDrawResidentSet	walks the region tables; the engine's only table-driven draw path
00470500	PropUpdateType69	g_class41_updates[69]. Original Mode only -- the routine's first line despawns it unless g_GameMode == 1 -- and it is dead in blocks 8 and 3. When g_script_flags[0x23] is raised, obj+0x192 is positive and g_script_branch_var is ALREADY 1, it promotes the branch to 2 and spawns a story-mode item at a fixed point. So this is the one writer that reads the variable before writing it: it upgrades a rescue's route to the story route rather than choosing one outright. Being shot pays the hit, plays 0x1D16A9, sparks and starts a fall. Draws slots 0x13F8 and 0x13F7. Two shipped spawns, stage 1 blocks 1 and 9.
00470b70	PropUpdateType73	g_class41_updates[73]. Original Mode only. Despawns while g_app_state is 5 (the attract demo) and expires on obj+0x11C step changes. When shot in block 7 with g_GameMode == 1 and g_script_flags[0x12] raised, it pays the hit, plays 0xE16A9 and -- IF the player is carrying original item 5, 6 or 0xC (PlayerHoldsOriginalItem) -- latches obj+0x192, writes g_script_branch_var = 2 and plays 0x381BA9. So this route is behind the key as well as the shot. It then plays object path 0x179 forward, firing 0x371BA9 at frame 0x46 and stopping at 0x69. Draws slot 0x1871. One shipped spawn: stage 4 block 7, route {8, -1, 22}.
004710c0	PropUpdateType75	g_class41_updates[75] (0x005936BC + 75*4 = 0x005937E8, its one xref). One shipped spawn: stage 4 block 2 step 5, at 9580, a 'generic' placement with type 75, slot/lifetime 2. It raises g_script_flags[20] on THREE instructions, not one -- 0x004710D7, 0x00471120 and 0x00471263 -- and stage 4 block 2 step 7's wait_script_flag 0x14 is the only gate on that flag in the six shipped scripts; no set_script_flag in stage 4 names it. Head: if (g_GameMode != 1) { g_script_flags[0x14] = 1; ActorDespawn(obj); return; } -- so in Arcade it raises the flag and leaves on its first frame, which is NOT the plain despawn the other Original-Mode-only types (70, 71, 72, 77) take. Then an INLINE variant of PropExpireByStepLifetime (FUN_00466640) with the scene-1 sweep left OUT and two extra lines folded in: on every change of g_evt_step_index it increments obj+0x2A4 and, when that reaches exactly 2 and obj+0x192 is still 0, raises the flag again; then the ordinary ++obj+0x197 > obj+0x11C despawn. The CMP g_GameMode,1 / JNZ at 0x00471161 is dead -- the head already proved it equal. Shot arm (obj+0x34 bit 3 and obj+0x192 == 0): BreakablePropAwardHit(obj+0x34, 0), a crosshair spark through FUN_004666B0(obj, (flags&2)?0:1, 1.5f), PlaySoundId(0xE16A9) and PlaySoundId(0x391BA9), a no-op call to PoseHookNone, obj+0x2A0 = 1, obj+0x192 = 1, and SpawnStoryModeItem (FUN_00467B90) with obj+0x19C/1A0/1A4 TEMPORARILY overwritten to (142.0, -59.8, -888.7) and put back straight after, plus DAT_007DCD14 = 0. Then while obj+0x192 == 1 it adds 1.0 a frame to obj+0x2C0 and at >= 290.0 (0x0056914C) sets obj+0x192 = 2, DAT_007DCD14 = 1, g_script_flags[0x14] = 1 and PlaySoundId(0x3A1BA9). The tail rides object path 0x178 by obj+0x2C0 through CamEvalObjectPath6, draws AssetDrawSlot(0xA6B), and registers its shot sphere at its own origin -- and it NEVER clears obj+0x34 bits 1..3, unlike the thirty routines that share the prologue.
00471330	PropUpdateType76	g_class41_updates[76]. Original Mode only, expires on obj+0x11C step changes. The first hit pays, sparks and plays 0xF16A9; the branch then opens on either of two conditions -- the placer's byte at obj+0x194 is 1 and g_evt_block_index == 5, or g_evt_block_index == 0xE and the player carries original item 0, 2 or 0xB. Either writes g_script_branch_var = 2, latches obj+0x192 and 0x40000000, and plays 0x2116A9. It then runs 60 frames of g_pHingeCurvesXYZ -- a door swinging open. Two shipped spawns, stage 4 blocks 5 and 14, whose route records are {7, -1, 21} and {15, -1, 20}.
00471bd0	SpawnExtraLifePickup	Releases item-set 1: a 0x378 object running ExtraLifePickupUpdate, one unit above the prop, turned to face the camera.
00471cc0	ExtraLifePickupUpdate	The extra-life pickup, drawn as asset 0x10C3. When shot it calls GrantExtraLife for the player who hit it, plays 0x3616A9, swaps to the floating award sprite (0x116A/0x119C with 0x1256/0x1257 above it) and fades out over 0x31 frames. BreakablePropAwardHit is called with 0 here, so the pickup itself pays no 10 points.
004722a0	SpawnGoldenFrog	Releases item-set 3: a full 0x13F4 actor of character type 0x1C, whose skeleton slots all resolve to frog_gold.bin -- the golden frog. It is placed at the prop, turned to face the camera, and runs FUN_00471fa0 with FUN_00463f90 installed at +0x12EC.
004723f0	SpawnScorePickup	Releases item-sets 2 and 5..8: a 0x378 object running ScorePickupUpdate with the set id as its kind, at the prop's position raised by g_item_pickup_y_offset[kind] and drawn with g_item_pickup_slot[kind].
004724a0	ScorePickupUpdate	The generic score pickup. On being shot it plays 0x416A9 or 0x3B17A9, awards g_item_score_table[kind], swaps to a floating score sprite (0x116A/0x119C), fades over 0x31 frames and despawns. Drawn as g_item_pickup_slot[kind] with a ground shadow at slot 0x10D0.
00472b10	PropPlacerDispatch44	class 0x44, indexes the 18 builders at g_pPropBuilders
00472b30	PropBuildScriptFlagEffect	g_class44_subtypes[0], and the only selector-0 builder in the game: stage 1's two window/gate halves at evt 0x1580 and 0x15CC. ActorAlloc(ScriptFlagEffectUpdate, 0x378), obj+0x34 |= 0x51, then everything else out of the parameter tail and two literals. obj+0x28C = u16 tail+0x04 (the asset slot, which this family never draws through AssetDrawSlot(obj+0x28C) and which is only ever read as the branch below). The dword at tail+0x04 == 0x13F5 picks the pair: effect id obj+0x324 = 2 and capture bone obj+0x2A0 = 2, else effect 3 and bone 1. obj+0x328 = 0x1D7 (motion 471) always; obj+0x32C/+0x330 zeroed -- those four words are EffectDrawTree's {effect, motion, frame, prev} state block. obj+0x124 = 40.0f (the shot radius) and obj+0x14C = tail+0x08. No MatrixTranslate anywhere in the family: the spawn's own position is never copied to obj+0x19C and the effect's motion carries world coordinates.
00472bd0	PropBuildHinge	selector 1, 37 spawns: one hinge from the parameter tail
00472c90	PropBuildVanDoors	selector 2: two doors at literal offsets (+/-9.29, 11.5, 22.68), slots 0x1794/0x1795, half a turn apart
00472eb0	PropBuildHingeScaled	selector 4, 13 spawns: as selector 1 with a per-instance scale and the flags at different offsets
00473940	PlaceFallingContainer	g_class44_subtypes[16]. Allocates a 0x378 object running FallingContainerUpdate. Two spawns, both stage 2.
00473a70	PlaceStoryModeSwitch	g_class44_subtypes[17]. Allocates a 0x378-byte object running StoryModeSwitchUpdate. Twelve shipped spawns across stages 1, 2, 3 and 5, and it is the branch writer with the widest reach: five of them stand in branch blocks.
00473b90	ScriptFlagEffectUpdate	The object PropBuildScriptFlagEffect allocates, and the whole of what class 0x44 selector 0 is. Three script-flag rules and a draw: g_script_flags[0x13] despawns it (ActorDespawn, not ActorKill); g_script_flags[0x12] steps obj+0x32C while it is below g_motion_play_length[obj+0x328] - 2; and the frame it lands on is matched against a cue list -- g_script_flag_effect_cues_a for effect 2 through the cursor at obj+0x2A4, g_script_flag_effect_cues_b otherwise through obj+0x2A8 -- each hit playing PlaySoundId(0x1816A9) and wrapping the cursor at the list's -1. The draw is gated on g_motion_slots[471].state == 2 (the literal word at 0x009A469C, which is that record's state half) and is EffectDrawWithCapture(obj+0x324, obj+0x2A0, -1): the effect tree at its own world coordinates, with the captured bone's matrix landing in obj+0x338 and copied on to obj+0x150. The three writes to obj+0x64/+0x68/+0x6C afterwards read EffectFrameRotations at the RAW cursor rather than the half-rate key, so past key 100 they index outside the motion block; nothing in this routine or in RegisterForShotTest reads them back.
00473cf0	HingeUpdate	shared by class 0x44 selectors 1/2/4. Swings on g_script_flags[open_flag] through g_pHingeCurvesXYZ (selectors 0/2/3) / g_pHingeCurvesYaw; transform is RotY(base); RotZ(rz); RotY(swing); RotX(rx). obj+0x1DC is read for its SIGN only here (TEST/JLE at 0x473EE6: ADD vs SUB on rx, NEG on yaw) -- its magnitude is the shot-wobble amplitude at IMUL 0x473FB5, and 4 of 56 hinges carry +/-512 or +/-416. obj+0x2C0 (the FMUL on the yaw) is 1.0f from every constructor; obj+0x1CC/0x1D4 are never written. Frame stops at 60, 130 on curve 4.
00474f30	StoryModeSwitchUpdate	The object PlaceStoryModeSwitch builds, and the branch writer with the widest reach -- twelve spawns over four stages. Despawns when the g_script_flags byte at obj+0x2A4 is raised, or in scene 1 when g_script_flags[0x77] is. Everything else is behind g_GameMode == 1. Once obj+0x192 has latched -- which a hit, or PlayerHoldsOriginalItem for any of the four ids at obj+0x1FC/0x202/0x208/0x20E, or DAT_009A26EC does -- it runs 60 frames of g_pHingeCurvesXYZ. THE BRANCH: while the g_script_flags byte named by obj+0x2A0 is raised, a SCENE AND BLOCK TABLE decides -- scene 0 block 4, scene 1 blocks 1, 3 and 0xC, and scene 4 block 4 all write g_script_branch_var = 2 and then clear obj+0x2A0 to -1 so it fires once. Those five (scene, block) pairs are exactly five of the branch records whose live alternate is slot 2: stage 1 block 4 {6,-1,13}, stage 2 blocks 1 {2,-1,29}, 3 {4,-1,30} and 12 {13,-1,31}, and stage 5 block 4 {5,-1,6}. In scene 2 it also spawns story-mode items in blocks 2 and 4 and raises g_script_flags[0x15].
00475e90	Class14Init	Class 0x14's Init, per g_class_handler_pairs (0x14 -> 0x00475E90). The stage-2 boss: character type 0x47 = boss2.bin, five spawns in the shipped scripts (stage 2 blocks 35/37/39/41, stage 5 block 3). Allocates a 0xBC-byte per-boss block with FUN_004A74E0(0xBC), stores it at obj+0x1310 and in g_class14_state, points g_class14_char at obj+0x194 and g_class14_xform at obj+0x40, seeds the phase state from the descriptor tail's byte +0x01 and the route quad from tail +0x10..+0x2C, increments g_enemies_present and g_enemies_alive, and installs Class14Update (MOV dword ptr [ESI], 0x476150 at 0x00476143).
00476150	Class14Update	Class 0x14's per-frame update. Re-seats g_class14_char/state/xform and g_cur_actor, runs Class14ResolveShotBone, dispatches g_class14_states[state+0x04] (CALL dword ptr [ECX*0x4 + 0x596218]), runs Class14AdvanceMotionAndPublishPoints, steers the boss along the descriptor's route quad with three Class14FollowSegment calls unless state+0x00 bit 0 is set, then Class14AdvancePhase and Class14UpdateAdaptiveRank. Despawns when g_active_cam_path equals tail+0x30 and g_cam_path_frame equals tail+0x32.
00476270	Class14ResolveShotBone	Class 0x14's shot handler, called at the top of Class14Update. Returns at once unless obj+0x34 bit 3 (MarkActorShot) is set; picks the shooter from bits 1 and 2, or a rand() coin when both or neither, clears bits 1..3, then finds the first entry of obj+0x190.. that names a bone and transforms that bone's matrix translation into world space. What it does with the point is [open] -- the routine ends on MatrixStackPop.
004763e0	Class14ApplyBoneDamage	Class 0x14's damage routine, called once per player from Class14ResolveShotBone. Tests the shot ray against a cone seated on the boss's bone matrix at char+0x130 (FUN_004062A0), and on a hit subtracts g_class14_bone_damage[zone + rank*2] at 0x00596697 -- doubled in Arcade Mode, scaled by the weapon's multiplier in Original Mode -- from obj+0x11C, bumps state+0x97, and pays 10 points. At zero hit points it raises obj+0x34 bit 0x4000000, drops g_enemies_alive and pays 0x5DC. Then, unless the actor is already reacting or bit 0x2000 is up, it saves the state and sub into state+0x06/+0x07 and enters state 0x11 (Class14StateKnockedDown) if the boss is airborne in state 9, 12 or 14, and state 0x10 (Class14StateCuedMotion) otherwise. **This is the only route into either**, and therefore the only route to the three deaths and to every one of the class's twelve script-flag writes.
00476ad0	Class14AdvanceMotionAndPublishPoints	Called every frame from Class14Update. Advances the boss's motion (FUN_0041DC70, FUN_00411090) and steps the play cursor at char+0x00 unless obj+0x34 bit 0x4000 is set, then publishes six world points derived from the two arm matrices (char+0x244 and char+0x1D8) into 0x009A3504..0x009A353C, and computes two fpatan angles off char+0x190/char+0x1FC. Pure pose/attack-point work.
00477cd0	Class14FollowSegment	Moves an x/z position toward the line through two points by a given step, and returns 1 when it is already on the far side. Class14Update calls it three times over the descriptor's route quad, which is what keeps the boss inside its patch of water.
00477e60	Class14AdvancePhase	Class 0x14's phase ladder, called every frame from Class14Update. When obj+0x11C <= obj+0x11E * g_class14_phase_hp_frac[phase] and the state is 5, 6 or 7, it advances state+0x08: 0 -> 1 (state 10), 3 -> 4, 5 -> 6, 6 -> 7 and 8 -> 9 (all state 6). Phases 1, 2, 4, 7 and 9 are advanced or ended elsewhere. The phase is what picks which of g_script_flags 10..17 and 31 the boss raises.
00477ff0	Class14TrackAdaptiveRank	Class 0x14's adaptive rank, g_class14_state+0x96, 0..15. Adds one whenever state+0x97 is positive and subtracts three (two while the state is 10 or 11) each time a player's life count at 0x009A5C66 + player*0x98 has fallen since the last frame. The rank indexes g_class14_summon_delays_a/b and g_class14_summon_counts.
00478160	Class14StateEntranceA	g_class14_states[0] and [3] -- the entrance the stage-2 boss plays for descriptor states 0 and 3. Plays the rise-out-of-the-water clips, and when g_bHudShutterState reaches 1 it moves to state 5, latches the boss's position into state+0x10..+0x18, clears state+0x00 bit 0 and raises g_script_flags[10] at 0x0047835B. Descriptor state 0 leaves phase (state+0x08) 0; state 3 takes the shorter arm.
004783b0	Class14StateEntranceB	g_class14_states[1] and [4] -- the entrance for descriptor states 1 and 4, which is the full stage-2 boss fight. Same shutter hand-over as Class14StateEntranceA, raising g_script_flags[10] at 0x004785E4, but it leaves phase 3 rather than 0, so the fight runs the whole 3->4->5->6->7 ladder and raises flags 11..16 on the way.
00478640	Class14StateEntranceC	g_class14_states[2] -- the entrance for descriptor state 2, which is stage 5 block 3's single spawn. It waits on g_script_flags[11] rather than raising 10, leaves phase 8, and hands over to state 5 on the shutter exactly as the other two do. This is why stage 5 block 3 gates on flag 31 alone.
00478870	Class14StateHunt	g_class14_states[5] -- the fight hub. Turns to face the camera and picks the next move from the phase at state+0x08: phases 0, 3 and 8 close to 55 units and go to state 8; phases 2 and 9 need 135 units and a heading inside 0x1FFF and go to state 9; phases 5, 6 and 7 use the same test and go to state 12.
00478c00	Class14StateClose	g_class14_states[6] -- closes on the latched target point at state+0x10. With state+0x9C zero it swims in until the point is inside 5 units and enters state 7; with state+0x9C one it follows the route quad and enters state 15 the moment Class14FollowSegment says it has left the segment.
00478e30	Class14StateRoar	g_class14_states[7] -- plays anim slot 8 state+0x60 times, one sound each, then returns to state 5.
00478ee0	Class14StateStrike	g_class14_states[8] -- the melee. Drags the camera in over motion frames 0x1E..0x37, opens obj+0x34 bit 0x2000 at frame 0x37, and at frame 0x3C calls FUN_00415300(player, 1, 6) -- one point of damage. Returns to state 6 at the end of the clip.
00479030	Class14StateLungeAtCamera	g_class14_states[9] -- the leap at the camera. Launches on motion frame 0x23 with a speed scaled by the distance (a shallower factor in phase 9), damages the player through FUN_00415300 when it lands within 22 units of the ground, bounces, settles and returns to state 6.
00479530	Class14StateSummonRoundA	g_class14_states[10] -- the phase-1 summoning round. Calls FUN_00438640(x, y, z, 100, 1) to place class-0x51 water enemies while g_enemies_alive is under 4, spacing them by g_class14_summon_delays_a[rank] and counting them out of g_class14_summon_counts. When the round ends with g_enemies_present == 1 it returns to state 5 and sets the phase to 2, which is the phase whose death raises g_script_flags[17].
00479be0	Class14StateSummonRoundB	g_class14_states[11] -- the phase-4 summoning round, the same shape as Class14StateSummonRoundA with FUN_00438640(..., 0x50, 2) and g_class14_summon_delays_b. Raises g_script_flags[11] at 0x00479C78 once the camera has settled, and g_script_flags[12] at 0x0047A264 after the swim-away, then goes to state 13 with the phase set to 5.
0047a2e0	Class14StateLeapAttack	g_class14_states[12] -- the phase 5/6/7 leap. Launches toward the camera on motion frame 0x23, damages the player on landing, bounces once and returns to state 6.
0047a7c0	Class14StateReposition	g_class14_states[13] -- puts the boss 65 units to one side of the route's mid-line facing along it, plays anim 0x38 or 0x39 depending on state+0x9C, and returns to state 5.
0047a990	Class14StateLeapFromSide	g_class14_states[14] -- the leap the scripted break hands over to. Places the boss 60 units to one side, launches at the camera, plays a dialogue line at motion frame 0x2D and damages the player on landing, then returns to state 6.
0047af60	Class14StateScriptedBreak	g_class14_states[15] -- the between-rounds cut. Plays anim 0x24, moves the boss 40 units back, and then drives the camera itself with CamEvalPath7 over cp slot 0x6C or 0x6D. Raises g_script_flags[13] (phase 6) or [15] (phase 7) at 0x0047B153/0x0047B14B when the camera settles, and g_script_flags[14] or [16] at 0x0047B1D7/0x0047B1CE at path frame 0xA1. Phase 4 sends it to state 11 instead.
0047b280	Class14StateCuedMotion	g_class14_states[16] -- plays the anim named by state+0x62 and then jumps to the state at state+0x06 with the sub-state at state+0x07. On motion frame 0x14 with obj+0x34 bit 0x4000000 set -- ResolveHit's hit-points-exhausted bit -- it enters the death for its phase: phase 2 -> state 0x12 and g_script_flags[17], phase 7 -> state 0x13 and flag 17, phase 9 -> state 0x14 and g_script_flags[31] (0x0047B458, 0x0047B46B).
0047b4c0	Class14StateKnockedDown	g_class14_states[17] -- the knock-back. Launches the boss away from the camera, lands it, plays the get-up and returns to state 6. Carries the same death branch as Class14StateCuedMotion, at motion frame 0x3C: phase 2 or 7 raises g_script_flags[17] at 0x0047BA6E, phase 9 raises g_script_flags[31] at 0x0047BA5B.
0047bad0	Class14StateDeathA	g_class14_states[18] -- the phase-2 death, entered after g_script_flags[17] is raised.
0047bfe0	Class14StateDeathB	g_class14_states[19] -- the phase-7 death, entered after g_script_flags[17] is raised.
0047c5f0	Class14StateDeathC	g_class14_states[20] -- the phase-9 death, entered after g_script_flags[31] is raised. Stage 5 block 3's gate is this one.
0047c960	Class32Update	Class 0x32's per-frame update, installed by Class32Init (MOV dword ptr [ESI], 0x47c960, bytes c70660c94700, at 0x0047F76F). Publishes DAT_009A26A0 = obj, writes DAT_009C8E10 = obj+0x11C / obj+0x11E as a float (0.0 when hp <= 0), adds 1.0 a frame to obj+0x138C and at > 18000.0 resets it and writes obj+0x131E = 0x10, then calls Class32OnShot (FUN_0047CC20) and dispatches g_class32_states[obj+0x1310] (CALL dword ptr [EDX*0x4 + 0x596738] at 0x0047C9E1). obj+0x1310 is the STATE word and obj+0x1312 the sub-state, the same pair classes 0x30 and 0x31 use. Afterwards it integrates obj+0x4C/0x50/0x54 into obj+0x40/0x44/0x48, aims obj+0x68 at the camera through FUN_004016B0, and draws through FUN_0047FE40.
0047cc20	Class32OnShot	Class 0x32's shot handler, called by Class32Update before the state dispatch. Gated on obj+0x34 bit 3; calls FUN_0047CD40 to charge the damage, and then, only while obj+0x34 bit 8 (0x100) is clear: if obj+0x34 bit 26 (0x4000000) is set it writes obj+0x1334 = 8 and obj+0x136C |= 2 and enters STATE 2 -- and 0x0047CC61 is the ONLY write of state 2 in the image, so the whole death chain 2 -> 3 -> 4 begins on the frame this actor's hit points run out. Otherwise, if obj+0x11C fell this frame, it writes obj+0x1334 = 8 and enters state 5, the hit reaction, once the drop passes a threshold: obj+0x131A == 1 counts obj+0x1368 down instead, and every other case compares obj+0x11C against (obj+0x11E / 10) * DAT_00596774[obj+0x1364 * 8]. Read while establishing what it would take to open stage 5's two wait_script_flag 30 gates: it is what says they cost a full enemy port and not a flag write.
0047d120	Class32StateMoveToFixedPoint	g_class32_states[1] (0x0059673C), reached from Class32StateWaitCamAndFlags. Sub 0 sets obj+0x34 bit 8, calls FUN_00435E50(320.0, 35.0), writes the destination obj+0x13C0/13C4/13C8 = (579.0, -65.0, -8832.0) and obj+0x1330 = 0x91, and divides the remaining distance by those 145 frames into obj+0x4C/0x50/0x54 -- Class32Update integrates them, so the object arrives exactly as the counter runs out. Sub 1 counts it down; at zero it clears obj+0x34 bit 8, draws obj+0x131E from FUN_0040A8A0, zeroes obj+0x132C and obj+0x138C, sets DAT_009CA0EA = 1 and takes the state from the WORD at 0x00596770 -- the first of the per-state constants that follow g_class32_states, so the combat loop's entry is data and not a literal.
0047f5f0	Class32Init	Class 0x32's Init, per g_class_handler_pairs (0x32 -> 0x0047F5F0). Installs 0x0047C960 as the actor's update function (MOV dword ptr [ESI], 0x47c960, bytes c70660c94700, at 0x0047F76F) and seeds obj+0x12EC = 0x0047F780 as the node-draw hook. This is the family that uses obj+0x131E as a 0..15 counter, which is a different field from class 0x30's compacted queue rank at the same offset.
00480050	Class32StateWaitCamAndFlags	g_class32_states[0] (0x00596738) -- the state Class32Init leaves the actor in, since it writes obj+0x1312 = 0 and never touches obj+0x1310. Five subs, all falling through: 0 sets obj+0x34 bit 14 (0x4000); 1 rides object path 0x180 by g_cam_path_frame (0x009A6110) into obj+0x40/0x44/0x48 and obj+0x64/0x68/0x6C once that frame passes 0x1A3, and waits for it to pass 0x256; 2 waits for g_script_flags[0x16] (22); 3 waits for g_script_flags[0x17] (23); 4 writes state 1. Stage 5's script sets both 22 and 23, so this actor is gated on the script and on the camera path rather than on the player.
00480140	Class32StateDeathSequence	g_class32_states[2] (0x00596740). Entered only from Class32OnShot at 0x0047CC61, on the frame obj+0x34 bit 26 comes up -- the hit points running out. Four subs: 0 sets obj+0x34 bit 8, plays 0xC23A9 and stops the BGM (PlaySoundId(0x80000000)), sets g_bHudShutterState = 3 and obj+0x1330 = 0x3C; 1 counts those 60 frames down and starts motion 0x8F through ActorSetMotionBlended; 2 waits for obj+0x19C > 0x1E, plays 0x1023A9 and loads obj+0x1330 from descriptor+0x2C; 3 loops the clip near its end, calls FUN_004805C0 every descriptor+0x34 frames, and when obj+0x1330 runs out writes state 3. The four subs FALL THROUGH into each other.
00480290	Class32StateDeathRetire	g_class32_states[3] (0x00596744), reached only from Class32StateDeathSequence. Sub 0 is the give-back: obj+0x131A = 0xFF, obj+0x34 = (obj+0x34 & ~0x4000) | 0x10100, motion 0x8E through ActorSetMotionBlended, FUN_0047FFC0, g_enemies_alive -= 1, g_enemies_present -= 1, the camera-tracking slot DAT_009A5EC0[obj+0x120 * 8] cleared, FUN_0047FFE0, PlaySoundId(0xC23A9), DAT_009C6F2D = 1, DAT_009C6F2C = 0, and the object put at (580.0, -35.0, -8832.855). It then falls straight through to obj+0x1310 = 4, obj+0x1312 = 0, so state 4 begins on the SAME frame. Sub 1 -- steer toward obj+0x13C0/13C4/13C8 at descriptor+0x28 a frame and hand to state 4 on arrival -- is [open]: nothing in this routine ever leaves obj+0x1312 at 1, and no other write of state 3 was found.
00480470	Class32StateRaiseFlagAndLeave	g_class32_states[4] (0x00596748). A five-sub scripted exit: sub 0 raises obj+0x34 bit 0x10000, sets g_script_flags[0x18] and yaw 0x8000; sub 1 holds until DAT_009A6110 == 0xAA; sub 2 calls FUN_004807B0 and clears bit 0x20 of obj+0x136C; sub 3 counts 0x78 frames; sub 4 counts 0xB4 frames, then MOV byte ptr [0x009C721E], 1 -- g_script_flags[30] -- calls FUN_00425F40 and ActorDespawn (FUN_00409CC0). Read while chasing who raises flag 30; it is not the raiser in stage 3 block 2, where the class-0x10 civilian's stream is.
00480a60	EntityLightAcquireSlot
00480aa0	EntityLightReleaseSlot
00480ac0	BuildEntitySpotlightArray
00480ce0	EvtOpSetSceneLighting14
00480d00	EvtOpEnableEntitySpotlights15
00480d20	EvtOpSetAmbientLightRgb16
00482ce0	SetPiecePropInit	Class 0x24's handler, and an Init rather than an update: it builds the actor and then installs one of six state routines as the object's own entry point. The parameter tail at obj+0x1390 carries everything -- tail+0x04 the character type into obj+0x1F4, tail+0x05 the state selector into obj+0x130C, tail+0x0A the motion into obj+0x1B4. obj+0x11C is an animation PHASE SEED, not hit points: -1 draws a random start frame, anything else starts the clock there, which is how a row of identical props avoids moving in lockstep. Selector 0 splits on tail+0x0C: zero gives SetPieceStateIdle, non-zero SetPieceStateHoldThenPlay.
00482ee0	SetPieceStateIdle	Class 0x24 selector 0: play the motion and wait to be removed. Every state shares that removal test -- obj+0x34 bit 0x2000000 chooses between "g_script_flags[tail+0x06] is set" and "g_active_cam_path == tail+0x06 and g_cam_path_frame >= tail+0x08".
00482f60	SetPieceStateHoldThenPlay	Class 0x24 selector 0 with tail+0x0C non-zero: count obj+0x1320 up to tail+0x0C frames, then install motion tail+0x0E through FUN_004119A0 and become SetPieceStateIdle. The one state where tail+0x0E is a motion id rather than a camera path.
00483030	SetPieceStateFreezeOnCue	Class 0x24 selector 1: plays from the start and freezes -- obj+0x1324 = 1 -- once g_active_cam_path reaches tail+0x0E at frame tail+0x10.
004830f0	SetPieceStateStartAndStopOnCues	Class 0x24 selector 2: starts frozen (the Init sets obj+0x1324 = 1) and takes two cues. tail+0x12/tail+0x14 clears the freeze and starts it playing; tail+0x0E/tail+0x10 sets it again. Both are a camera path plus a frame threshold.
004831e0	SetPieceStateDropToGround	Class 0x24 selector 3: starts frozen and falls. Sub 0 zeroes the velocity, sub 1 integrates obj+0x5C -= 0.027222222, obj+0x50 += obj+0x5C, obj+0x44 += obj+0x50 until it reaches g_camera_fixed_eye_y, then clamps to the floor and clears the freeze so the animation plays. The same 0.027222222 half-gravity ActorArcVelocity uses. Freezes again on the motion's last frame, g_motion_play_length[motion] - 1.
004832e0	SetPieceStateSlide	Class 0x24 selector 4: slides. Sub 0 sets a 0x27-frame timer and a fixed velocity of (0.646266, 0, 0.613497); sub 1 adds it to obj+0x40/obj+0x48 each frame until the timer runs out; sub 2 waits a further 0x19 frames; sub 3 stops. Freezes on the motion's last frame.
00483410	SetPieceStateDelayedDrift	Class 0x24 selector 5: holds until the motion frame passes 0x32, then drifts down under a much gentler 0.0034027777 until it reaches the ground plane. Unlike the other five its removal test has no script-flag variant -- it is always the camera path.
004834f0	SetPiecePropDrawAndTick	The per-frame body every class-0x24 state ends with: pose the skeleton through FUN_00411090 and, if obj+0x1324 is zero, advance the motion frame at obj+0x194 by one. So obj+0x1324 is a FREEZE flag -- non-zero holds the pose. Also carries two hardcoded set-piece effects for character type 0x55 and an extra drawn asset (slot 0x1382) for type 0x53.
004840d0	ScriptedHumanoidInit	Class 0x25's handler, and an Init: it builds the actor and installs ScriptedHumanoidUpdate as the object's entry point. Everything comes from the parameter tail -- tail+0x00 the character type, tail+0x02/+0x04 the removal trigger (cam path and frame, or a script-flag index when obj+0x34 bit 0x2000000 is set), tail+0x08 a model handle into obj+0x1304, and tail+0x0C a pointer to the COMMAND BLOCK. The block's header gives the opening motion at +0x04 and a phase seed at +0x06, -1 meaning rand()%10, and the commands start at +0x08. In Boss Mode character types 0x39 and 0x3A are remapped to the player's selected character through DAT_009A2242/DAT_009A2256. obj+0x124 is a per-character hit radius from the table at 0x004C4D28.
